,Club,Total,League,FA Cup,LeagueCup,UEFAChampions'League,CupWinnersCup,EuropaLeague,LastTrophySeason
0,Liverpool,43,19.0,7.0,8.0,6.0,,3.0,2020
1,Manchester United,42,20.0,12.0,5.0,3.0,1.0,1.0,2017
2,Arsenal,31,13.0,14.0,2.0,,1.0,1.0,2020
3,Chelsea,24,6.0,8.0,5.0,1.0,2.0,2.0,2019
4,Manchester City,20,6.0,6.0,7.0,,1.0,,2020
5,Aston Villa,20,7.0,7.0,5.0,1.0,,,1996
6,Tottenham Hotspur,17,2.0,8.0,4.0,,1.0,2.0,2008
7,Everton,15,9.0,5.0,,,1.0,,1995
8,Newcastle United,11,4.0,6.0,,,,1.0,1969
9,Blackburn Rovers,10,3.0,6.0,1.0,,,,2002
10,Wolverhampton Wanderers,9,3.0,4.0,2.0,,,,1980
11,Nottingham Forest,9,1.0,2.0,4.0,2.0,,,1990
12,Sunderland,8,6.0,2.0,,,,,1973
13,Sheffield Wednesday,8,4.0,3.0,1.0,,,,1991
14,Leeds United,7,3.0,1.0,1.0,,,2.0,1992
15,West Bromwich Albion,7,1.0,5.0,1.0,,,,1968
16,Sheffield United,5,1.0,4.0,,,,,1925
17,The Wanderers,5,,5.0,,,,,1878
18,Leicester City,4,1.0,,3.0,,,,2016
19,Huddersfield Town,4,3.0,1.0,,,,,1926
20,Preston North End,4,2.0,2.0,,,,,1938
21,Portsmouth,4,2.0,2.0,,,,,2008
22,West Ham United,4,,3.0,,,1.0,,1980
23,Bolton Wanderers,4,,4.0,,,,,1958
24,Derby County,3,2.0,1.0,,,,,1975
25,Burnley,3,2.0,1.0,,,,,1960
26,Ipswich Town,3,1.0,1.0,,,,1.0,1981
27,Bury,2,,2.0,,,,,1903
28,Old Etonians,2,,2.0,,,,,1882
29,Birmingham City,2,,,2.0,,,,2011
30,Norwich City,2,,,2.0,,,,1985
31,Wigan Athletic,1,,1.0,,,,,2013
32,Milton Keynes Dons (Wimbledon),1,,1.0,,,,,1988
33,Coventry City,1,,1.0,,,,,1987
34,Southampton,1,,1.0,,,,,1976
35,Blackpool,1,,1.0,,,,,1953
36,Charlton Athletic,1,,1.0,,,,,1947
37,Cardiff City,1,,1.0,,,,,1927
38,Barnsley,1,,1.0,,,,,1912
39,Bradford City,1,,1.0,,,,,1911
40,Notts County,1,,1.0,,,,,1894
41,Blackburn Olympic,1,,1.0,,,,,1883
42,Old Carthusians,1,,1.0,,,,,1881
43,Clapham Rovers,1,,1.0,,,,,1880
44,Royal Engineers,1,,1.0,,,,,1875
45,Oxford University,1,,1.0,,,,,1874
46,Swansea City,1,,,1.0,,,,2013
47,Middlesbrough,1,,,1.0,,,,2004
48,Luton Town,1,,,1.0,,,,1988
49,Oxford United,1,,,1.0,,,,1986
50,Stoke City,1,,,1.0,,,,1972
51,Swindon Town,1,,,1.0,,,,1969
52,Queens Park Rangers,1,,,1.0,,,,1967
